user,message
group_notification,"Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
"
group_notification,"Manisha Jaishwal Mnc created group ""IIT Patna MnC''25""
"
group_notification,"You joined using this group's invite link
"
Lucky MnC,"<Media omitted>
"
Abhishek MnC,"Jabariya jodi...😂
"
-- Raja,"https://youtube.com/playlist?list=PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH&si=tW533JO56r_ShEOW
"
Abhishek MnC,"Aree dekho  wo aa gya.....😂
"
Lucky MnC,"100 days of ML.... 2 hours before ML  exam💀
"
Lucky MnC,"@918135844498 bhai ye back k exams kb hote pata kr k batana
"
Intaz Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"@919816668240 ja rhe n kl ??
"
Manisha Jaishwal Mnc,"Kitne bje ??
"
Ashish Mnc,"See off krne aa jana
"
Ashish Mnc,"Koi exam aur paper ka discussion nhi krega idhar nhi to me usko nikal dunga group se
"
Manisha Jaishwal Mnc,"Mai bhi
"
Manisha Jaishwal Mnc,"Tmhare sare Exams toh badhiya gya h
"
Ashish Mnc,"Lgta hai tujhe is group me nhi rhna
"
Manisha Jaishwal Mnc,"Aaj toh 100/70
"
-- Raja,"ML ka paper ko grp description me daal k rakh <This message was edited>
"
Ashish Mnc,"Kyu?
"
-- Raja,"Daily dekhna hai...
"
Ashish Mnc,"Chup hoja tu 
Aur soja
"
Manisha Jaishwal Mnc,"@919831567888 12 ko joining h tmhari ?
"
Manisha Jaishwal Mnc,"Tb 12 tk yhi reh lo
"
Sayak,"Ha
"
Manisha Jaishwal Mnc,"Bye bye 👋🫂
"
Sayak,"🙂💔
"
Manisha Jaishwal Mnc,"Location ?
"
Intaz Mnc,"Sab niche aa jao
"
Intaz Mnc,"Birthday celebration
"
Shakti Singh Mnc,"Sab aa jao niche
"
Rishav Ranaut(MnC) Roommate,"Ok
"
Intaz Mnc,"Koming
"
Intaz Mnc,"live location shared
"
Intaz Mnc,"Jo bhi kho gaya h
"
Intaz Mnc,"@919831567888
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"HAppY BiRtHdAy SHAKTI ASHU MINTU 🥳🥳🥳🔥🔥🔥
"
Ankit Anand Mnc,"🫶🫶🫶
"
Ankit Anand Mnc,"In Advance ❤️❤️❤️
"
Mintu MnC,"Thank u bhai
"
Ankit Anand Mnc,"🫶
"
Shakti Singh Mnc,"Thank u bro🙇🏻‍♂️
"
Asutosh MnC,"Thanks you bhai ❤️
"
PROLAY KAYAL,"Happy birthday @919123870910 @917891273930 @918016037286
"
Asutosh MnC,"Aaj nhi hai
"
Asutosh MnC,"4 ko mintu
5 ko Shakti 
6 ko mera
"
Asutosh MnC,"https://youtube.com/shorts/qVEp0xkoNYA?si=2xnd4Sj2YapbkfdM
"
Rishav Ranaut(MnC) Roommate,"Raja jarha h
"
Manisha Jaishwal Mnc,"Happy Journey guys
"
Manisha Jaishwal Mnc,"Tum bhi toh ja rhe
"
Rishav Ranaut(MnC) Roommate,"Han
"
Asutosh MnC,"https://www.instagram.com/reel/CzK1VNNRsqe/?igshid=NGEwZGU0MjU5Mw==
"
Asutosh MnC,"https://www.instagram.com/reel/Cz9JfVvtAhV/?igshid=NGEwZGU0MjU5Mw==
"
